"table_schema","table_name","ordinal_position","column_name","data_type","is_nullable"
msbf_ctl,m2_1_policy_profile,32,configuration_payload,jsonb,NO
msbf_ctl,m2_1_policy_profile,33,configuration_hash,text,NO
msbf_ctl,m2_1_policy_profile,34,created_at,timestamp with time zone,NO
msbf_ctl,m2_1_policy_profile,35,updated_at,timestamp with time zone,NO
msbf_ctl,m2_1_strategy_contract_registry,1,registry_id,bigint,NO
msbf_ctl,m2_1_strategy_contract_registry,2,module1_run_id,bigint,NO
msbf_ctl,m2_1_strategy_contract_registry,3,contract_code,text,NO
msbf_ctl,m2_1_strategy_contract_registry,4,contract_version,integer,NO
msbf_ctl,m2_1_strategy_contract_registry,5,schema_version,text,NO
msbf_ctl,m2_1_strategy_contract_registry,6,methodology_version,text,NO
msbf_ctl,m2_1_strategy_contract_registry,7,source_g2_bundle_code,text,NO
msbf_ctl,m2_1_strategy_contract_registry,8,source_g2_bundle_version,integer,NO
msbf_ctl,m2_1_strategy_contract_registry,9,source_g2_schema_version,text,NO
msbf_ctl,m2_1_strategy_contract_registry,10,source_g2_combined_hash,text,NO
msbf_ctl,m2_1_strategy_contract_registry,11,policy_configuration_hash,text,NO
msbf_ctl,m2_1_strategy_contract_registry,12,strategy_campaign_rows,bigint,NO
msbf_ctl,m2_1_strategy_contract_registry,13,gate_definition_rows,bigint,NO
msbf_ctl,m2_1_strategy_contract_registry,14,reason_code_rows,bigint,NO
msbf_ctl,m2_1_strategy_contract_registry,15,outcome_definition_rows,bigint,NO
msbf_ctl,m2_1_strategy_contract_registry,16,gate_result_rows,bigint,NO
msbf_ctl,m2_1_strategy_contract_registry,17,routing_snapshot_rows,bigint,NO
msbf_ctl,m2_1_strategy_contract_registry,18,latest_rows,bigint,NO
msbf_ctl,m2_1_strategy_contract_registry,19,archive_rows,bigint,NO
msbf_ctl,m2_1_strategy_contract_registry,20,comparison_rows,bigint,NO
msbf_ctl,m2_1_strategy_contract_registry,21,canonical_entities,bigint,NO
msbf_ctl,m2_1_strategy_contract_registry,22,campaign_set_hash,text,YES
msbf_ctl,m2_1_strategy_contract_registry,23,gate_definition_set_hash,text,YES
msbf_ctl,m2_1_strategy_contract_registry,24,reason_code_set_hash,text,YES
msbf_ctl,m2_1_strategy_contract_registry,25,outcome_definition_set_hash,text,YES
msbf_ctl,m2_1_strategy_contract_registry,26,gate_result_set_hash,text,YES
msbf_ctl,m2_1_strategy_contract_registry,27,routing_snapshot_set_hash,text,YES
msbf_ctl,m2_1_strategy_contract_registry,28,latest_set_hash,text,YES
msbf_ctl,m2_1_strategy_contract_registry,29,archive_set_hash,text,YES
msbf_ctl,m2_1_strategy_contract_registry,30,contract_set_hash,text,YES
msbf_ctl,m2_1_strategy_contract_registry,31,combined_set_hash,text,YES
msbf_ctl,m2_1_strategy_contract_registry,32,contract_status,text,NO
msbf_ctl,m2_1_strategy_contract_registry,33,generated_at,timestamp with time zone,YES
msbf_ctl,m2_1_strategy_contract_registry,34,validated_at,timestamp with time zone,YES
msbf_ctl,m2_1_strategy_contract_registry,35,accepted_at,timestamp with time zone,YES
msbf_ctl,m2_1_strategy_contract_registry,36,row_hash,text,NO
msbf_ctl,m2_1_strategy_contract_registry,37,created_at,timestamp with time zone,NO
msbf_ctl,operating_model_profile,1,operating_model_profile_id,bigint,NO
msbf_ctl,operating_model_profile,2,profile_code,text,NO
msbf_ctl,operating_model_profile,3,profile_version,integer,NO
msbf_ctl,operating_model_profile,4,business_name,text,NO
msbf_ctl,operating_model_profile,5,effective_start_date,date,NO
msbf_ctl,operating_model_profile,6,effective_end_date,date,YES
msbf_ctl,operating_model_profile,7,status,text,NO
msbf_ctl,operating_model_profile,8,owner_role,text,NO
msbf_ctl,operating_model_profile,9,approver_role,text,YES
msbf_ctl,operating_model_profile,10,approval_timestamp,timestamp with time zone,YES
msbf_ctl,operating_model_profile,11,last_review_date,date,YES
msbf_ctl,operating_model_profile,12,next_review_date,date,YES
msbf_ctl,operating_model_profile,13,change_reason,text,YES
msbf_ctl,operating_model_profile,14,created_at,timestamp with time zone,NO
msbf_ctl,operating_model_profile,15,created_by,text,NO
msbf_ctl,operating_model_profile,16,provider_entity_type,text,NO
msbf_ctl,operating_model_profile,17,bank_partner_model,text,NO
msbf_ctl,operating_model_profile,18,processor_control_model,text,NO
msbf_ctl,operating_model_profile,19,broker_model,text,NO
msbf_ctl,operating_model_profile,20,servicing_model,text,NO
msbf_ctl,operating_model_profile,21,funding_model,text,NO
msbf_ctl,operating_model_profile,22,collections_model,text,NO
msbf_ctl,operating_model_profile,23,supersedes_profile_id,bigint,YES
msbf_ctl,operating_model_profile,24,profile_payload,jsonb,NO
