schema_name,table_name,column_ordinal,column_name,data_type,nullable,m1_4_dependency
msbf_m1,merchant_deposit_daily_scenario,8,opening_balance,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,9,deposit_amount,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,10,withdrawal_amount,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,11,closing_balance,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,12,available_balance,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,13,minimum_balance,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,14,nsf_count,smallint,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,15,negative_balance_flag,boolean,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,16,source_contract_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,17,generated_by_run_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_deposit_daily_scenario,18,row_hash,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,1,module1_run_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,2,merchant_application_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,3,population_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,4,scenario_id,bigint,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,5,as_of_date,date,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,6,merchant_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,7,industry_code,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,8,partner_channel_id,text,True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,9,processor_account_id,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,10,history_start_date,date,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,11,history_end_date,date,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,12,pos_history_days,integer,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,13,deposit_history_days,integer,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,14,source_confidence_score,"numeric(9,6)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,15,data_confidence_tier,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,16,processor_continuity_status,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,17,verification_status,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,18,fraud_risk_tier,smallint,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,19,avg_daily_eligible_sales_7d,"numeric(18,2)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,20,avg_daily_eligible_sales_30d,"numeric(18,2)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,21,avg_daily_eligible_sales_60d,"numeric(18,2)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,22,avg_daily_eligible_sales_90d,"numeric(18,2)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,23,annualized_eligible_sales,"numeric(18,2)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,24,sales_growth_7d_vs_30d,"numeric(12,8)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,25,sales_growth_30d_vs_90d,"numeric(12,8)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,26,daily_sales_cv_30d,"numeric(12,8)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,27,daily_sales_cv_90d,"numeric(12,8)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,28,zero_sales_day_rate_30d,"numeric(12,8)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,29,seasonality_index_180d,"numeric(12,8)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,30,largest_30d_share_180d,"numeric(12,8)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,31,refund_rate_30d,"numeric(12,8)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,32,chargeback_rate_30d,"numeric(12,8)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,33,reversal_rate_30d,"numeric(12,8)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,34,deposit_to_eligible_sales_rate_30d,"numeric(12,8)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,35,negative_balance_day_rate_30d,"numeric(12,8)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,36,nsf_count_30d,integer,True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,37,average_available_balance_30d,"numeric(18,2)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,38,cash_flow_buffer_days,"numeric(12,4)",True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,39,existing_monthly_debt_service,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,40,existing_daily_remittance_amount,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,41,active_short_term_advance_count,smallint,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,42,stacking_flag,boolean,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,43,months_in_business,integer,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,44,processor_tenure_months,integer,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,45,business_bureau_score,smallint,True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,46,owner_credit_score,smallint,True,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,47,prior_default_flag,boolean,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,48,cashflow_archetype_code,text,False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,49,adjusted_eligible_daily_revenue,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,50,industry_cash_flow_conversion_margin,"numeric(12,8)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,51,adjusted_daily_cash_flow_available,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,52,requested_expected_daily_remittance,"numeric(18,2)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,53,new_remittance_to_sales_rate,"numeric(12,8)",False,Referenced by controlled M1.4 SQL
msbf_m1,merchant_feature_snapshot,54,total_remittance_to_sales_rate,"numeric(12,8)",False,Referenced by controlled M1.4 SQL
