schema_name,table_name,ordinal_position,column_name,data_type,nullable,default_expression,stage
msbf_ctl,m1_16_acquisition_contract_registry,7,source_m1_15_contract_code,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,8,source_m1_15_contract_version,integer,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,9,source_m1_15_schema_version,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,10,source_m1_15_combined_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,11,source_m1_14_combined_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,12,policy_configuration_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,13,contract_status,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,14,source_profile_row_count,integer,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,15,campaign_row_count,integer,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,16,funnel_row_count,integer,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,17,cost_ledger_row_count,integer,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,18,touchpoint_row_count,integer,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,19,attribution_row_count,integer,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,20,cost_snapshot_row_count,integer,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,21,component_row_count,integer,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,22,latest_row_count,integer,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,23,archive_row_count,integer,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,24,integrated_view_row_count,integer,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,25,source_profile_set_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,26,campaign_set_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,27,funnel_set_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,28,cost_ledger_set_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,29,touchpoint_set_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,30,attribution_set_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,31,cost_snapshot_set_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,32,component_set_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,33,latest_set_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,34,archive_set_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,35,contract_set_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,36,combined_set_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,37,contract_row_hash,text,NO,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,38,generated_at,timestamptz,NO,clock_timestamp(),M1.16
msbf_ctl,m1_16_acquisition_contract_registry,39,validated_at,timestamptz,YES,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,40,accepted_at,timestamptz,YES,,M1.16
msbf_ctl,m1_16_acquisition_contract_registry,41,created_by_run_id,bigint,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,1,module1_run_id,bigint,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,2,merchant_application_id,text,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,3,population_id,text,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,4,merchant_id,text,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,5,as_of_date,date,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,6,accepted_partner_channel_id,text,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,7,accepted_channel_type,text,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,8,accepted_application_channel,text,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,9,primary_source_code,text,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,10,primary_campaign_id,text,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,11,attribution_method_code,text,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,12,attribution_method_version,integer,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,13,attribution_confidence_score,"numeric(9,6)",NO,,M1.16
msbf_m1,application_acquisition_contract_latest,14,attribution_confidence_tier,text,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,15,touchpoint_count,smallint,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,16,assisted_touch_count,smallint,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,17,attribution_evidence_status,text,NO,,M1.16
msbf_m1,application_acquisition_contract_latest,18,direct_attributable_incurred_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_contract_latest,19,internally_allocated_acquisition_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_contract_latest,20,total_incurred_pre_application_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_contract_latest,21,detailed_conditional_partner_broker_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_contract_latest,22,detailed_total_acquisition_cost_if_booked,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_contract_latest,23,accepted_m1_14_acquisition_cost_rate,"numeric(12,8)",NO,,M1.16
msbf_m1,application_acquisition_contract_latest,24,accepted_m1_14_acquisition_cost_amount,"numeric(18,2)",NO,,M1.16
msbf_m1,application_acquisition_contract_latest,25,legacy_m1_14_cost_scope_code,text,NO,,M1.16
