relation_name,column_name,data_type,reference_scope
msbf_m1.feature_definition,created_at,timestamptz,Referenced upstream or control relation
msbf_m1.feature_definition,data_type,text,Referenced upstream or control relation
msbf_m1.feature_definition,expected_direction,text,Referenced upstream or control relation
msbf_m1.feature_definition,feature_code,text,Referenced upstream or control relation
msbf_m1.feature_definition,feature_family_code,text,Referenced upstream or control relation
msbf_m1.feature_definition,feature_name,text,Referenced upstream or control relation
msbf_m1.feature_definition,feature_version,integer,Referenced upstream or control relation
msbf_m1.feature_definition,formula_description,text,Referenced upstream or control relation
msbf_m1.feature_definition,observation_window_days,integer,Referenced upstream or control relation
msbf_m1.feature_definition,owner_role,text,Referenced upstream or control relation
msbf_m1.feature_definition,production_boundary,text,Referenced upstream or control relation
msbf_m1.feature_definition,unit_code,text,Referenced upstream or control relation
msbf_m1.feature_definition,valid_max_numeric,"numeric(24,10)",Referenced upstream or control relation
msbf_m1.feature_definition,valid_min_numeric,"numeric(24,10)",Referenced upstream or control relation
msbf_m1.m1_10_actual_capacity,<catalog extension/current module>,,Referenced relation; detailed columns governed in module schema catalogs
msbf_m1.m1_10_actual_obligation,<catalog extension/current module>,,Referenced relation; detailed columns governed in module schema catalogs
msbf_m1.m1_10_assert_generation_ready,<catalog extension/current module>,,Referenced relation; detailed columns governed in module schema catalogs
msbf_m1.m1_10_hash_jsonb,<catalog extension/current module>,,Referenced relation; detailed columns governed in module schema catalogs
msbf_m1.merchant_application,application_channel,text,Referenced upstream or control relation
msbf_m1.merchant_application,application_date,date,Referenced upstream or control relation
msbf_m1.merchant_application,application_status,text,Referenced upstream or control relation
msbf_m1.merchant_application,as_of_date,date,Referenced upstream or control relation
msbf_m1.merchant_application,created_by_run_id,bigint,Referenced upstream or control relation
msbf_m1.merchant_application,merchant_application_id,text,Referenced upstream or control relation
msbf_m1.merchant_application,merchant_id,text,Referenced upstream or control relation
msbf_m1.merchant_application,partner_channel_id,text,Referenced upstream or control relation
msbf_m1.merchant_application,population_id,text,Referenced upstream or control relation
msbf_m1.merchant_application,processor_account_id,text,Referenced upstream or control relation
msbf_m1.merchant_application,request_hash,text,Referenced upstream or control relation
msbf_m1.merchant_application,requested_expected_payoff_days,smallint,Referenced upstream or control relation
msbf_m1.merchant_application,requested_finance_charge_amount,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.merchant_application,requested_funding_amount,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.merchant_application,requested_remittance_rate,"numeric(9,6)",Referenced upstream or control relation
msbf_m1.merchant_application,requested_total_repayment_amount,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.merchant_application,requested_use_of_proceeds,text,Referenced upstream or control relation
msbf_m1.merchant_industry_assignment,assignment_type,text,Referenced upstream or control relation
msbf_m1.merchant_industry_assignment,created_by_run_id,bigint,Referenced upstream or control relation
msbf_m1.merchant_industry_assignment,effective_end_date,date,Referenced upstream or control relation
msbf_m1.merchant_industry_assignment,effective_start_date,date,Referenced upstream or control relation
msbf_m1.merchant_industry_assignment,industry_code,text,Referenced upstream or control relation
msbf_m1.merchant_industry_assignment,merchant_id,text,Referenced upstream or control relation
msbf_m1.merchant_industry_assignment,revenue_share_rate,"numeric(9,6)",Referenced upstream or control relation
msbf_m1.merchant_master,active_flag,boolean,Referenced upstream or control relation
msbf_m1.merchant_master,annual_sales_band,text,Referenced upstream or control relation
msbf_m1.merchant_master,base_currency,char(3),Referenced upstream or control relation
msbf_m1.merchant_master,created_by_run_id,bigint,Referenced upstream or control relation
msbf_m1.merchant_master,created_date,date,Referenced upstream or control relation
msbf_m1.merchant_master,incorporation_date,date,Referenced upstream or control relation
msbf_m1.merchant_master,intrinsic_profile_hash,text,Referenced upstream or control relation
msbf_m1.merchant_master,legal_entity_type,text,Referenced upstream or control relation
msbf_m1.merchant_master,merchant_id,text,Referenced upstream or control relation
msbf_m1.merchant_master,merchant_size_tier,text,Referenced upstream or control relation
msbf_m1.merchant_master,population_id,text,Referenced upstream or control relation
msbf_m1.merchant_master,region_code,text,Referenced upstream or control relation
msbf_m1.merchant_master,synthetic_business_name,text,Referenced upstream or control relation
msbf_m1.merchant_master,synthetic_data_flag,boolean,Referenced upstream or control relation
msbf_m1.merchant_relationship_snapshot,as_of_date,date,Referenced upstream or control relation
msbf_m1.merchant_relationship_snapshot,completed_advance_count,integer,Referenced upstream or control relation
msbf_m1.merchant_relationship_snapshot,created_by_run_id,bigint,Referenced upstream or control relation
msbf_m1.merchant_relationship_snapshot,deposit_relationship_flag,boolean,Referenced upstream or control relation
msbf_m1.merchant_relationship_snapshot,merchant_id,text,Referenced upstream or control relation
msbf_m1.merchant_relationship_snapshot,merchant_services_relationship_flag,boolean,Referenced upstream or control relation
msbf_m1.merchant_relationship_snapshot,prior_advance_count,integer,Referenced upstream or control relation
msbf_m1.merchant_relationship_snapshot,prior_default_flag,boolean,Referenced upstream or control relation
msbf_m1.merchant_relationship_snapshot,prior_payment_interruption_flag,boolean,Referenced upstream or control relation
msbf_m1.merchant_relationship_snapshot,relationship_quality_tier,smallint,Referenced upstream or control relation
msbf_m1.merchant_relationship_snapshot,relationship_stage,text,Referenced upstream or control relation
msbf_m1.merchant_relationship_snapshot,snapshot_hash,text,Referenced upstream or control relation
msbf_m1.merchant_relationship_snapshot,total_prior_funded_amount,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.merchant_relationship_snapshot,total_prior_repaid_amount,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.merchant_relationship_snapshot,wallet_share_proxy,"numeric(9,6)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,as_of_date,date,Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,base_credit_risk_points,"numeric(18,6)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,base_credit_risk_proxy,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,business_owner_credit_points,"numeric(18,6)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,business_stability_points,"numeric(18,6)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,cash_flow_risk_points,"numeric(18,6)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,created_at,timestamptz,Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,credit_risk_tier,smallint,Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,data_confidence_points,"numeric(18,6)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,data_confidence_tier,text,Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,expected_ead_amount,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,expected_ead_rate,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,expected_loss_rate,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,fraud_risk_tier,smallint,Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,hard_stop_recommended_flag,boolean,Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,industry_channel_points,"numeric(18,6)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,lgd_input_rate,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,liquidity_risk_points,"numeric(18,6)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,manual_review_recommended_flag,boolean,Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,merchant_application_id,text,Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,module1_run_id,bigint,Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,obligation_risk_points,"numeric(18,6)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,operational_continuity_status,text,Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,primary_reason_code,text,Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,raw_base_risk_score,"numeric(18,6)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,requested_structure_points,"numeric(18,6)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,requested_structure_risk_proxy,"numeric(12,8)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,risk_cap_applied_flag,boolean,Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,risk_floor_applied_flag,boolean,Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,risk_snapshot_hash,text,Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,schedule_adjusted_expected_loss_amount,"numeric(18,2)",Referenced upstream or control relation
msbf_m1.merchant_risk_snapshot,simple_expected_loss_amount,"numeric(18,2)",Referenced upstream or control relation
